[2026-09-26T14:34:57.956Z] syncing 1 Topps Tiles products to Shopify as DRAFT
[2026-09-26T14:54:33.150Z] ✓ Multipanel Flush Corner Profile — 5/5 variants, 14 images, 5 variant images
[2026-09-26T14:54:33.518Z] ✓ Multipanel Wall/Floor Base Profile Satin 2.45m — 1/1 variants, 2 images, 1 variant images
[2026-09-26T14:54:37.605Z] ✓ Multipanel Angle Profile — 5/5 variants, 13 images, 5 variant images
[2026-09-26T14:54:47.973Z] ✓ Multipanel Silicone — 5/5 variants, 8 images, 5 variant images
[2026-09-26T14:54:51.253Z] ✓ Broadway — 2/2 variants, 11 images, 2 variant images
[2026-09-26T14:54:54.837Z] ✓ Rise Matting — 6/6 variants, 20 images, 6 variant images
[2026-09-26T14:55:05.361Z] ✓ Capello™ — 3/3 variants, 13 images, 3 variant images
[2026-09-26T14:55:08.672Z] ✓ Acton™ — 6/6 variants, 17 images, 6 variant images
[2026-09-26T14:55:16.204Z] ✓ Compton™ — 6/6 variants, 32 images, 6 variant images
[2026-09-26T14:55:25.168Z] ✓ Briks™ — 4/4 variants, 25 images, 4 variant images
[2026-09-26T14:55:26.916Z] ✓ Carven™ — 2/2 variants, 14 images, 2 variant images
[2026-09-26T14:55:35.090Z] ✓ PreKast™ — 3/3 variants, 24 images, 3 variant images
[2026-09-26T14:55:44.526Z] ✓ Blossom™ — 5/5 variants, 26 images, 5 variant images
[2026-09-26T14:55:46.525Z] ✓ Cadence™ — 4/4 variants, 22 images, 4 variant images
[2026-09-26T14:55:51.240Z] ✓ Splashpanel End Cap White 2.4m — 1/1 variants, 4 images, 1 variant images
[2026-09-26T14:55:51.241Z] progress 200/843 (ok 200, warnings 0, failed 0)
[2026-09-26T14:55:53.638Z] ✓ Splashpanel Internal Corner White 2.4m — 1/1 variants, 4 images, 1 variant images
[2026-09-26T14:55:54.179Z] ✓ PVC Panels — 4/4 variants, 12 images, 4 variant images
[2026-09-26T14:55:57.973Z] ✓ Splashpanel External Corner White 2.4m — 1/1 variants, 4 images, 1 variant images
[2026-09-26T14:56:14.797Z] ✓ Skandi™ — 6/6 variants, 32 images, 6 variant images
[2026-09-26T14:56:15.543Z] ✓ Blaine — 4/4 variants, 18 images, 4 variant images
[2026-09-26T14:56:17.057Z] ✓ Essen™ — 9/9 variants, 42 images, 9 variant images
[2026-09-26T14:56:31.900Z] ✓ Kelham Loft™ — 3/3 variants, 17 images, 3 variant images
[2026-09-26T14:56:32.642Z] ✓ Gravatas™ — 2/2 variants, 11 images, 2 variant images
[2026-09-26T14:56:34.041Z] ✓ Austral — 3/3 variants, 19 images, 3 variant images
[2026-09-26T14:56:48.595Z] ✓ Novene™ Carrara — 3/3 variants, 19 images, 3 variant images
[2026-09-26T14:56:49.777Z] ✓ Ambrose Onyx™ — 3/3 variants, 18 images, 3 variant images
[2026-09-26T14:56:53.849Z] ✓ XL Luxury Vinyl Tiles — 6/6 variants, 36 images, 6 variant images
[2026-09-26T14:57:07.613Z] ✓ Mayer™ Onyx — 4/4 variants, 23 images, 4 variant images
[2026-09-26T14:57:10.564Z] ✓ Roselle — 2/2 variants, 14 images, 2 variant images
[2026-09-26T14:57:16.825Z] ✓ Acoustic Wood Wall Panels — 16/16 variants, 76 images, 16 variant images
[2026-09-26T14:57:25.259Z] ✓ Brunswick — 2/2 variants, 12 images, 2 variant images
[2026-09-26T14:57:29.382Z] ✓ Geomantic™ — 3/3 variants, 16 images, 3 variant images
[2026-09-26T14:57:31.470Z] ✓ Dural Pentagonal Patterned Corner Shelf — 4/4 variants, 4 images, 4 variant images
[2026-09-26T14:57:39.909Z] ✓ Dural Pentagonal Patterned Corner Shelf with Railing and Hanger — 4/4 variants, 4 images, 4 variant images
[2026-09-26T14:57:44.119Z] ✓ Dural Triangular Corner Shelf — 4/4 variants, 4 images, 4 variant images
[2026-09-26T14:57:46.763Z] ✓ Dural Pentagonal Corner Shelf — 4/4 variants, 4 images, 4 variant images
[2026-09-26T14:57:54.820Z] ✓ Dural Pentagonal Corner Shelf With Railing and Hanger — 4/4 variants, 4 images, 4 variant images
[2026-09-26T14:57:58.601Z] ✓ Dural Triangular Patterned Shelf — 4/4 variants, 4 images, 4 variant images
[2026-09-26T14:58:01.241Z] ✓ Dural Triangular Patterned Shelf With Railing and Hanger — 4/4 variants, 4 images, 4 variant images
